iter	Passed	Remaining
205	10345	39876
206	10390	39805
207	10435	39734
208	10483	39677
209	10526	39600
210	10577	39554
211	10628	39507
212	10674	39440
213	10726	39397
214	10774	39340
215	10818	39267
216	10866	39208
217	10914	39153
218	10964	39100
219	11011	39041
220	11077	39046
221	11127	38995
222	11178	38947
223	11225	38888
224	11272	38827
225	11318	38764
226	11367	38710
227	11414	38648
228	11456	38571
229	11505	38517
230	11550	38450
231	11593	38380
232	11639	38315
233	11683	38247
234	11729	38182
235	11780	38136
236	11828	38081
237	11876	38025
238	11921	37958
239	11971	37908
240	12016	37845
241	12068	37802
242	12116	37745
243	12162	37684
244	12213	37637
245	12261	37583
246	12307	37521
247	12354	37461
248	12399	37397
249	12442	37328
250	12488	37265
251	12535	37207
252	12587	37165
253	12692	37277
254	12740	37223
255	12784	37156
256	12832	37099
257	12878	37038
258	12926	36982
259	12974	36926
260	13025	36881
261	13074	36826
262	13121	36771
263	13164	36701
264	13209	36636
265	13255	36577
266	13297	36504
267	13340	36438
268	13383	36368
269	13434	36323
270	13483	36272
271	13531	36216
272	13576	36155
273	13621	36091
274	13669	36037
275	13714	35975
276	13762	35922
277	13805	35854
278	13854	35803
279	13899	35742
280	13948	35689
281	14006	35662
282	14061	35624
283	14107	35566
284	14153	35507
285	14201	35454
286	14244	35387
287	14290	35328
288	14338	35275
289	14383	35214
290	14430	35159
291	14479	35108
292	14527	35054
293	14572	34994
294	14626	34955
295	14670	34891
296	14715	34831
297	14761	34774
298	14809	34719
299	14852	34656
300	14896	34593
301	14944	34539
302	14986	34473
303	15038	34431
304	15085	34375
305	15131	34317
306	15179	34264
307	15221	34199
308	15267	34141
309	15312	34082
310	15360	34029
311	15402	33965
312	15450	33913
313	15497	33857
314	15538	33791
315	15655	33887
316	15749	33933
317	15795	33876
318	15842	33821
319	15890	33768
320	15936	33709
321	15979	33645
322	16026	33591
323	16071	33531
324	16111	33462
325	16156	33404
326	16204	33350
327	16252	33297
328	16297	33238
329	16343	33182
330	16391	33128
331	16435	33068
332	16478	33006
333	16531	32963
334	16578	32908
335	16619	32843
336	16668	32792
337	16714	32737
338	16762	32684
339	16809	32631
340	16858	32579
341	16904	32523
342	16954	32476
343	16998	32416
344	17052	32374
345	17100	32322
346	17149	32271
347	17201	32227
348	17251	32179
349	17298	32126
350	17347	32075
351	17393	32020
352	17444	31973
353	17489	31916
354	17533	31857
355	17582	31806
356	17630	31755
357	17677	31701
358	17720	31639
359	17764	31580
360	17811	31528
361	17862	31480
362	17906	31423
363	17954	31371
364	18012	31336
365	18067	31297
366	18115	31246
367	18166	31199
368	18213	31145
369	18262	31095
370	18315	31052
371	18456	31157
372	18520	31132
373	18581	31101
374	18625	31042
375	18673	30990
376	18715	30927
377	18775	30894
378	18832	30856
379	18876	30798
380	18925	30748
381	18972	30693
382	19017	30637
383	19061	30577
384	19114	30534
385	19161	30479
386	19206	30422
387	19256	30374
388	19312	30333
389	19362	30284
390	19418	30244
391	19468	30196
392	19529	30163
393	19578	30112
394	19631	30067
395	19679	30016
396	19729	29967
397	19780	29918
398	19835	29877
